TestCaseID,BuildID,ExecutionTime,Environment,Browser,Module,FailedStep,ErrorMessage,StackTraceSnippet,Locator,APIResponse,Duration(ms),RetryCount,Status
TC_ADD_EMP_049,B1035,1/20/2026 9:00,QA,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6453,0,PASS
TC_ADD_EMP_049,B1031,1/20/2026 9:02,Staging,Firefox,Employee,Save Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46664,1,FAIL
TC_VIEW_EMP_040,B1012,1/20/2026 9:04,UAT,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6448,0,PASS
TC_DELETE_EMP_006,B1024,1/20/2026 9:06,QA,Firefox,Employee,Delete Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19312,1,FAIL
TC_ADD_CART_031,B1021,1/20/2026 9:08,Staging,Edge,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16633,0,FAIL
TC_DELETE_EMP_019,B1023,1/20/2026 9:10,Staging,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32228,3,FAIL
TC_DELETE_EMP_004,B1036,1/20/2026 9:12,UAT,Edge,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7310,0,PASS
TC_ADD_EMP_019,B1007,1/20/2026 9:14,Staging,Edge,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7441,0,PASS
TC_EDIT_EMP_037,B1012,1/20/2026 9:16,QA,Chrome,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3981,0,PASS
TC_PURCHASE_026,B1029,1/20/2026 9:18,QA,Edge,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34619,1,FAIL
TC_ADD_CART_044,B1028,1/20/2026 9:20,QA,Edge,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15725,1,FAIL
TC_RENT_001,B1033,1/20/2026 9:22,QA,Firefox,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31065,3,FAIL
TC_RENT_017,B1012,1/20/2026 9:24,Staging,Chrome,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16666,1,FAIL
TC_VIEW_EMP_015,B1014,1/20/2026 9:26,UAT,Firefox,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49223,0,FAIL
TC_ADD_EMP_014,B1040,1/20/2026 9:28,UAT,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19748,0,FAIL
TC_ADD_CART_050,B1023,1/20/2026 9:30,QA,Edge,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30488,1,FAIL
TC_EDIT_EMP_006,B1049,1/20/2026 9:32,Staging,Firefox,Employee,Edit Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17130,1,FAIL
TC_RENT_020,B1007,1/20/2026 9:34,UAT,Edge,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16642,0,FAIL
TC_LOGIN_023,B1004,1/20/2026 9:36,UAT,Firefox,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,7154,0,PASS
TC_RENT_029,B1016,1/20/2026 9:38,QA,Firefox,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,7788,0,PASS
TC_RENT_034,B1043,1/20/2026 9:40,Staging,Edge,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33703,2,FAIL
TC_RENT_021,B1031,1/20/2026 9:42,Staging,Firefox,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,2054,0,PASS
TC_VIEW_EMP_040,B1030,1/20/2026 9:44,QA,Edge,Employee,View Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18733,1,FAIL
TC_PURCHASE_014,B1025,1/20/2026 9:46,Staging,Chrome,Ecommerce,Purchase,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17317,1,FAIL
TC_PURCHASE_008,B1019,1/20/2026 9:48,Staging,Chrome,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,4138,0,PASS
TC_DELETE_EMP_049,B1012,1/20/2026 9:50,Staging,Chrome,Employee,Delete Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18615,1,FAIL
TC_VIEW_EMP_041,B1020,1/20/2026 9:52,Staging,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2363,0,PASS
TC_EDIT_EMP_032,B1040,1/20/2026 9:54,UAT,Edge,Employee,Edit Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33798,2,FAIL
TC_LOGIN_011,B1010,1/20/2026 9:56,QA,Chrome,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30709,1,FAIL
TC_ADD_CART_042,B1039,1/20/2026 9:58,UAT,Chrome,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,2662,0,PASS
TC_RENT_044,B1047,1/20/2026 10:00,QA,Firefox,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48006,1,FAIL
TC_VIEW_EMP_007,B1036,1/20/2026 10:02,QA,Firefox,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45195,0,FAIL
TC_VIEW_EMP_035,B1026,1/20/2026 10:04,QA,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3446,0,PASS
TC_DELETE_EMP_044,B1049,1/20/2026 10:06,UAT,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7526,0,PASS
TC_DELETE_EMP_038,B1014,1/20/2026 10:08,Staging,Edge,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4268,0,PASS
TC_RENT_028,B1026,1/20/2026 10:10,UAT,Firefox,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19465,0,FAIL
TC_VIEW_PRODUCT_041,B1019,1/20/2026 10:12,QA,Chrome,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17638,0,FAIL
TC_DELETE_EMP_006,B1004,1/20/2026 10:14,Staging,Firefox,Employee,Delete Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16479,1,FAIL
TC_PURCHASE_043,B1009,1/20/2026 10:16,QA,Chrome,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31401,2,FAIL
TC_ADD_CART_023,B1006,1/20/2026 10:18,UAT,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,5671,0,PASS
TC_ADD_EMP_024,B1024,1/20/2026 10:20,UAT,Edge,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4214,0,PASS
TC_LOGIN_036,B1013,1/20/2026 10:22,Staging,Chrome,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4811,0,PASS
TC_PURCHASE_008,B1018,1/20/2026 10:24,Staging,Firefox,Ecommerce,Purchase,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16261,0,FAIL
TC_ADD_EMP_050,B1000,1/20/2026 10:26,UAT,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17647,1,FAIL
TC_VIEW_PRODUCT_002,B1024,1/20/2026 10:28,UAT,Firefox,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,3253,0,PASS
TC_DELETE_EMP_001,B1043,1/20/2026 10:30,Staging,Chrome,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7127,0,PASS
TC_EDIT_EMP_031,B1040,1/20/2026 10:32,QA,Edge,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5055,0,PASS
TC_DELETE_EMP_024,B1007,1/20/2026 10:34,UAT,Edge,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3877,0,PASS
TC_ADD_EMP_009,B1010,1/20/2026 10:36,QA,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19050,1,FAIL
TC_ADD_EMP_002,B1043,1/20/2026 10:38,UAT,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30554,3,FAIL
TC_PURCHASE_004,B1039,1/20/2026 10:40,UAT,Chrome,Ecommerce,Purchase,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19677,1,FAIL
TC_ADD_EMP_026,B1013,1/20/2026 10:42,Staging,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32479,2,FAIL
TC_RENT_029,B1009,1/20/2026 10:44,UAT,Edge,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,7754,0,PASS
TC_ADD_CART_001,B1033,1/20/2026 10:46,Staging,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34357,1,FAIL
TC_ADD_EMP_032,B1032,1/20/2026 10:48,UAT,Firefox,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7189,0,PASS
TC_VIEW_EMP_008,B1005,1/20/2026 10:50,UAT,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4781,0,PASS
TC_LOGIN_005,B1044,1/20/2026 10:52,QA,Edge,Authentication,Click Login Button,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45131,0,FAIL
TC_VIEW_EMP_014,B1038,1/20/2026 10:54,QA,Edge,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45527,0,FAIL
TC_PURCHASE_042,B1021,1/20/2026 10:56,Staging,Chrome,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45655,0,FAIL
TC_VIEW_PRODUCT_011,B1042,1/20/2026 10:58,Staging,Chrome,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,7120,0,PASS
TC_RENT_027,B1050,1/20/2026 11:00,Staging,Edge,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16925,0,FAIL
TC_EDIT_EMP_027,B1035,1/20/2026 11:02,UAT,Chrome,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3016,0,PASS
TC_ADD_EMP_037,B1027,1/20/2026 11:04,QA,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17840,0,FAIL
TC_ADD_CART_026,B1046,1/20/2026 11:06,Staging,Chrome,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16439,1,FAIL
TC_VIEW_PRODUCT_023,B1050,1/20/2026 11:08,Staging,Edge,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18655,1,FAIL
TC_VIEW_PRODUCT_003,B1035,1/20/2026 11:10,QA,Firefox,Ecommerce,View Product,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48997,0,FAIL
TC_PURCHASE_047,B1043,1/20/2026 11:12,Staging,Firefox,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46429,1,FAIL
TC_ADD_CART_044,B1040,1/20/2026 11:14,Staging,Chrome,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17609,1,FAIL
TC_VIEW_EMP_038,B1037,1/20/2026 11:16,Staging,Chrome,Employee,View Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18079,0,FAIL
TC_EDIT_EMP_041,B1037,1/20/2026 11:18,Staging,Edge,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4919,0,PASS
TC_DELETE_EMP_028,B1043,1/20/2026 11:20,Staging,Firefox,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48444,1,FAIL
TC_ADD_EMP_020,B1041,1/20/2026 11:22,Staging,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4685,0,PASS
TC_ADD_EMP_015,B1007,1/20/2026 11:24,Staging,Firefox,Employee,Save Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48680,0,FAIL
TC_RENT_034,B1025,1/20/2026 11:26,UAT,Chrome,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19667,0,FAIL
TC_DELETE_EMP_038,B1041,1/20/2026 11:28,QA,Edge,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46025,1,FAIL
TC_ADD_CART_003,B1044,1/20/2026 11:30,QA,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33070,3,FAIL
TC_DELETE_EMP_048,B1017,1/20/2026 11:32,UAT,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33872,3,FAIL
TC_LOGIN_017,B1011,1/20/2026 11:34,UAT,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,7614,0,PASS
TC_RENT_002,B1037,1/20/2026 11:36,Staging,Firefox,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31268,2,FAIL
TC_PURCHASE_038,B1001,1/20/2026 11:38,Staging,Edge,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,6967,0,PASS
TC_LOGIN_037,B1010,1/20/2026 11:40,UAT,Edge,Authentication,Click Login Button,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48740,1,FAIL
TC_VIEW_PRODUCT_045,B1040,1/20/2026 11:42,Staging,Edge,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,3279,0,PASS
TC_PURCHASE_004,B1042,1/20/2026 11:44,QA,Edge,Ecommerce,Purchase,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15476,1,FAIL
TC_RENT_047,B1004,1/20/2026 11:46,QA,Edge,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48383,0,FAIL
TC_VIEW_EMP_005,B1008,1/20/2026 11:48,QA,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2632,0,PASS
TC_DELETE_EMP_028,B1022,1/20/2026 11:50,QA,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30157,3,FAIL
TC_VIEW_EMP_004,B1048,1/20/2026 11:52,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7081,0,PASS
TC_LOGIN_033,B1046,1/20/2026 11:54,QA,Firefox,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,5865,0,PASS
TC_DELETE_EMP_024,B1010,1/20/2026 11:56,UAT,Edge,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32085,1,FAIL
TC_PURCHASE_015,B1036,1/20/2026 11:58,UAT,Chrome,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34446,2,FAIL
TC_ADD_EMP_015,B1021,1/20/2026 12:00,QA,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30769,3,FAIL
TC_ADD_EMP_038,B1006,1/20/2026 12:02,QA,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31555,2,FAIL
TC_ADD_EMP_044,B1005,1/20/2026 12:04,QA,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19377,0,FAIL
TC_VIEW_EMP_041,B1048,1/20/2026 12:06,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4559,0,PASS
TC_LOGIN_020,B1016,1/20/2026 12:08,QA,Edge,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17360,0,FAIL
TC_PURCHASE_037,B1013,1/20/2026 12:10,Staging,Edge,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,5174,0,PASS
TC_PURCHASE_030,B1039,1/20/2026 12:12,QA,Chrome,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3891,0,PASS
TC_VIEW_PRODUCT_003,B1048,1/20/2026 12:14,QA,Firefox,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30193,2,FAIL
TC_ADD_EMP_047,B1026,1/20/2026 12:16,UAT,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34210,2,FAIL
TC_DELETE_EMP_047,B1050,1/20/2026 12:18,Staging,Edge,Employee,Delete Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15542,1,FAIL
TC_ADD_CART_036,B1017,1/20/2026 12:20,UAT,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,5030,0,PASS
TC_LOGIN_011,B1017,1/20/2026 12:22,Staging,Edge,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17204,1,FAIL
TC_LOGIN_004,B1030,1/20/2026 12:24,UAT,Firefox,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16437,0,FAIL
TC_ADD_EMP_019,B1012,1/20/2026 12:26,QA,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18626,1,FAIL
TC_VIEW_EMP_036,B1019,1/20/2026 12:28,UAT,Edge,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46661,0,FAIL
TC_ADD_EMP_018,B1003,1/20/2026 12:30,UAT,Edge,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15910,0,FAIL
TC_ADD_EMP_008,B1028,1/20/2026 12:32,QA,Edge,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6328,0,PASS
TC_LOGIN_012,B1040,1/20/2026 12:34,Staging,Chrome,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,2959,0,PASS
TC_EDIT_EMP_027,B1039,1/20/2026 12:36,UAT,Edge,Employee,Edit Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49305,0,FAIL
TC_ADD_EMP_015,B1013,1/20/2026 12:38,UAT,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30988,1,FAIL
TC_VIEW_PRODUCT_007,B1047,1/20/2026 12:40,Staging,Firefox,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31411,3,FAIL
TC_ADD_CART_034,B1049,1/20/2026 12:42,QA,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32866,1,FAIL
TC_EDIT_EMP_023,B1003,1/20/2026 12:44,QA,Chrome,Employee,Edit Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33245,2,FAIL
TC_ADD_EMP_004,B1010,1/20/2026 12:46,Staging,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15486,1,FAIL
TC_LOGIN_022,B1025,1/20/2026 12:48,Staging,Firefox,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18980,0,FAIL
TC_DELETE_EMP_028,B1009,1/20/2026 12:50,QA,Firefox,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32281,2,FAIL
TC_DELETE_EMP_018,B1020,1/20/2026 12:52,UAT,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5025,0,PASS
TC_PURCHASE_048,B1031,1/20/2026 12:54,Staging,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3847,0,PASS
TC_ADD_CART_040,B1002,1/20/2026 12:56,Staging,Edge,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,4157,0,PASS
TC_PURCHASE_008,B1030,1/20/2026 12:58,UAT,Chrome,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48384,0,FAIL
TC_ADD_CART_017,B1013,1/20/2026 13:00,QA,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,7923,0,PASS
TC_RENT_007,B1047,1/20/2026 13:02,UAT,Edge,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32172,2,FAIL
