TestCaseID,BuildID,ExecutionTime,Environment,Browser,Module,FailedStep,ErrorMessage,StackTraceSnippet,Locator,APIResponse,Duration(ms),RetryCount,Status
TC_ADD_CART_001,B1014,1/20/2026 13:04,Staging,Edge,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30207,3,FAIL
TC_PURCHASE_016,B1035,1/20/2026 13:06,QA,Firefox,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31068,3,FAIL
TC_LOGIN_034,B1028,1/20/2026 13:08,UAT,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32724,1,FAIL
TC_LOGIN_024,B1024,1/20/2026 13:10,Staging,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34735,2,FAIL
TC_RENT_011,B1000,1/20/2026 13:12,UAT,Edge,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15582,0,FAIL
TC_ADD_EMP_021,B1023,1/20/2026 13:14,Staging,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7941,0,PASS
TC_RENT_009,B1026,1/20/2026 13:16,Staging,Firefox,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,4630,0,PASS
TC_VIEW_EMP_034,B1013,1/20/2026 13:18,UAT,Chrome,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5409,0,PASS
TC_ADD_CART_044,B1050,1/20/2026 13:20,QA,Edge,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,7004,0,PASS
TC_DELETE_EMP_044,B1004,1/20/2026 13:22,Staging,Firefox,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48431,0,FAIL
TC_EDIT_EMP_014,B1031,1/20/2026 13:24,UAT,Chrome,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4070,0,PASS
TC_ADD_CART_040,B1007,1/20/2026 13:26,UAT,Firefox,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15266,0,FAIL
TC_PURCHASE_048,B1007,1/20/2026 13:28,Staging,Edge,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32238,3,FAIL
TC_VIEW_EMP_042,B1029,1/20/2026 13:30,QA,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7834,0,PASS
TC_PURCHASE_027,B1011,1/20/2026 13:32,UAT,Chrome,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32345,3,FAIL
TC_LOGIN_017,B1022,1/20/2026 13:34,Staging,Chrome,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33239,3,FAIL
TC_ADD_EMP_001,B1032,1/20/2026 13:36,QA,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31025,2,FAIL
TC_VIEW_EMP_021,B1044,1/20/2026 13:38,QA,Chrome,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45321,0,FAIL
TC_ADD_EMP_026,B1030,1/20/2026 13:40,Staging,Chrome,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15910,1,FAIL
TC_DELETE_EMP_038,B1019,1/20/2026 13:42,UAT,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2567,0,PASS
TC_VIEW_EMP_047,B1050,1/20/2026 13:44,UAT,Chrome,Employee,View Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17616,1,FAIL
TC_DELETE_EMP_016,B1001,1/20/2026 13:46,QA,Chrome,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3850,0,PASS
TC_LOGIN_001,B1016,1/20/2026 13:48,UAT,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4347,0,PASS
TC_VIEW_PRODUCT_033,B1024,1/20/2026 13:50,QA,Firefox,Ecommerce,View Product,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49978,0,FAIL
TC_VIEW_EMP_029,B1029,1/20/2026 13:52,QA,Chrome,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2390,0,PASS
TC_DELETE_EMP_035,B1030,1/20/2026 13:54,QA,Chrome,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7936,0,PASS
TC_VIEW_PRODUCT_002,B1022,1/20/2026 13:56,UAT,Chrome,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32782,1,FAIL
TC_VIEW_EMP_023,B1024,1/20/2026 13:58,QA,Chrome,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4150,0,PASS
TC_RENT_007,B1013,1/20/2026 14:00,UAT,Firefox,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,7599,0,PASS
TC_ADD_CART_007,B1006,1/20/2026 14:02,UAT,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34715,1,FAIL
TC_ADD_CART_007,B1023,1/20/2026 14:04,Staging,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,5001,0,PASS
TC_VIEW_EMP_031,B1005,1/20/2026 14:06,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3213,0,PASS
TC_ADD_EMP_023,B1050,1/20/2026 14:08,Staging,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19541,1,FAIL
TC_PURCHASE_001,B1006,1/20/2026 14:10,UAT,Chrome,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,2224,0,PASS
TC_EDIT_EMP_039,B1032,1/20/2026 14:12,QA,Edge,Employee,Edit Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16358,1,FAIL
TC_VIEW_PRODUCT_034,B1003,1/20/2026 14:14,Staging,Firefox,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,7645,0,PASS
TC_ADD_CART_048,B1036,1/20/2026 14:16,UAT,Chrome,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34918,1,FAIL
TC_DELETE_EMP_027,B1016,1/20/2026 14:18,QA,Firefox,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48312,0,FAIL
TC_ADD_CART_011,B1007,1/20/2026 14:20,UAT,Edge,Ecommerce,Add to Cart,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31288,2,FAIL
TC_DELETE_EMP_022,B1046,1/20/2026 14:22,UAT,Edge,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5145,0,PASS
TC_VIEW_PRODUCT_047,B1025,1/20/2026 14:24,UAT,Firefox,Ecommerce,View Product,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30854,3,FAIL
TC_VIEW_PRODUCT_001,B1043,1/20/2026 14:26,Staging,Edge,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17522,1,FAIL
TC_EDIT_EMP_045,B1007,1/20/2026 14:28,Staging,Chrome,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3867,0,PASS
TC_EDIT_EMP_024,B1042,1/20/2026 14:30,UAT,Edge,Employee,Edit Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46669,1,FAIL
TC_VIEW_EMP_025,B1013,1/20/2026 14:32,Staging,Firefox,Employee,View Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49386,1,FAIL
TC_ADD_CART_026,B1017,1/20/2026 14:34,Staging,Firefox,Ecommerce,Add to Cart,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48651,0,FAIL
TC_DELETE_EMP_010,B1037,1/20/2026 14:36,QA,Edge,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49916,1,FAIL
TC_VIEW_PRODUCT_020,B1020,1/20/2026 14:38,Staging,Firefox,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,2801,0,PASS
TC_LOGIN_019,B1042,1/20/2026 14:40,UAT,Edge,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17807,1,FAIL
TC_PURCHASE_024,B1047,1/20/2026 14:42,QA,Firefox,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,48506,1,FAIL
TC_ADD_CART_003,B1005,1/20/2026 14:44,UAT,Firefox,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,2012,0,PASS
TC_PURCHASE_035,B1001,1/20/2026 14:46,QA,Edge,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33949,3,FAIL
TC_LOGIN_045,B1012,1/20/2026 14:48,Staging,Firefox,Authentication,Click Login Button,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49904,0,FAIL
TC_RENT_038,B1020,1/20/2026 14:50,UAT,Chrome,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45525,1,FAIL
TC_LOGIN_024,B1032,1/20/2026 14:52,Staging,Chrome,Authentication,Click Login Button,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45010,1,FAIL
TC_LOGIN_026,B1024,1/20/2026 14:54,Staging,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34903,2,FAIL
TC_EDIT_EMP_014,B1005,1/20/2026 14:56,QA,Firefox,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4000,0,PASS
TC_VIEW_EMP_004,B1017,1/20/2026 14:58,Staging,Edge,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2759,0,PASS
TC_ADD_EMP_035,B1020,1/20/2026 15:00,UAT,Firefox,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18325,1,FAIL
TC_EDIT_EMP_006,B1017,1/20/2026 15:02,UAT,Chrome,Employee,Edit Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18348,0,FAIL
TC_LOGIN_041,B1030,1/20/2026 15:04,Staging,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,3967,0,PASS
TC_DELETE_EMP_028,B1039,1/20/2026 15:06,QA,Chrome,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,2383,0,PASS
TC_LOGIN_007,B1036,1/20/2026 15:08,UAT,Firefox,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,33616,1,FAIL
TC_RENT_001,B1040,1/20/2026 15:10,QA,Edge,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,4776,0,PASS
TC_VIEW_EMP_016,B1015,1/20/2026 15:12,Staging,Edge,Employee,View Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32031,3,FAIL
TC_LOGIN_033,B1013,1/20/2026 15:14,UAT,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,6259,0,PASS
TC_ADD_EMP_002,B1017,1/20/2026 15:16,UAT,Edge,Employee,Save Employee,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15227,1,FAIL
TC_ADD_CART_045,B1045,1/20/2026 15:18,QA,Chrome,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,2142,0,PASS
TC_RENT_004,B1047,1/20/2026 15:20,Staging,Edge,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,2891,0,PASS
TC_DELETE_EMP_008,B1049,1/20/2026 15:22,Staging,Firefox,Employee,Delete Employee,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46503,1,FAIL
TC_VIEW_PRODUCT_041,B1003,1/20/2026 15:24,UAT,Chrome,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,18513,0,FAIL
TC_LOGIN_032,B1008,1/20/2026 15:26,Staging,Chrome,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,5027,0,PASS
TC_PURCHASE_011,B1005,1/20/2026 15:28,UAT,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,6743,0,PASS
TC_ADD_CART_027,B1020,1/20/2026 15:30,QA,Edge,Ecommerce,Add to Cart,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49801,1,FAIL
TC_LOGIN_034,B1000,1/20/2026 15:32,UAT,Chrome,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4808,0,PASS
TC_PURCHASE_031,B1003,1/20/2026 15:34,Staging,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,2654,0,PASS
TC_RENT_040,B1018,1/20/2026 15:36,QA,Firefox,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45811,1,FAIL
TC_ADD_CART_018,B1004,1/20/2026 15:38,QA,Chrome,Ecommerce,Add to Cart,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49091,0,FAIL
TC_LOGIN_009,B1022,1/20/2026 15:40,QA,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,7152,0,PASS
TC_ADD_EMP_039,B1023,1/20/2026 15:42,Staging,Chrome,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32365,2,FAIL
TC_ADD_CART_021,B1039,1/20/2026 15:44,UAT,Edge,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,2982,0,PASS
TC_ADD_EMP_045,B1031,1/20/2026 15:46,UAT,Firefox,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3723,0,PASS
TC_ADD_EMP_040,B1005,1/20/2026 15:48,UAT,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5135,0,PASS
TC_VIEW_PRODUCT_035,B1028,1/20/2026 15:50,Staging,Edge,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,4752,0,PASS
TC_ADD_EMP_049,B1012,1/20/2026 15:52,QA,Firefox,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,7073,0,PASS
TC_LOGIN_022,B1047,1/20/2026 15:54,QA,Firefox,Authentication,Click Login Button,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15797,1,FAIL
TC_EDIT_EMP_011,B1049,1/20/2026 15:56,Staging,Chrome,Employee,Edit Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32564,2,FAIL
TC_PURCHASE_020,B1041,1/20/2026 15:58,QA,Edge,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3192,0,PASS
TC_VIEW_EMP_050,B1048,1/20/2026 16:00,QA,Firefox,Employee,View Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6754,0,PASS
TC_LOGIN_045,B1005,1/20/2026 16:02,QA,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34926,1,FAIL
TC_RENT_005,B1019,1/20/2026 16:04,Staging,Firefox,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34285,3,FAIL
TC_ADD_EMP_016,B1022,1/20/2026 16:06,QA,Firefox,Employee,Save Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31439,3,FAIL
TC_EDIT_EMP_041,B1007,1/20/2026 16:08,UAT,Edge,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5849,0,PASS
TC_LOGIN_017,B1021,1/20/2026 16:10,QA,Edge,Authentication,Click Login Button,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31388,3,FAIL
TC_ADD_EMP_017,B1037,1/20/2026 16:12,UAT,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,4659,0,PASS
TC_RENT_050,B1024,1/20/2026 16:14,QA,Chrome,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,7129,0,PASS
TC_EDIT_EMP_049,B1020,1/20/2026 16:16,UAT,Firefox,Employee,Edit Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3458,0,PASS
TC_VIEW_PRODUCT_031,B1005,1/20/2026 16:18,UAT,Firefox,Ecommerce,View Product,Assertion passed,N/A,N/A,HTTP 200 OK,2654,0,PASS
TC_PURCHASE_026,B1031,1/20/2026 16:20,UAT,Edge,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,7033,0,PASS
TC_VIEW_EMP_009,B1030,1/20/2026 16:22,UAT,Edge,Employee,View Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30734,1,FAIL
TC_PURCHASE_046,B1046,1/20/2026 16:24,Staging,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,3005,0,PASS
TC_DELETE_EMP_047,B1049,1/20/2026 16:26,QA,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5704,0,PASS
TC_RENT_039,B1006,1/20/2026 16:28,QA,Chrome,Ecommerce,Rent Item,Assertion passed,N/A,N/A,HTTP 200 OK,6807,0,PASS
TC_LOGIN_032,B1017,1/20/2026 16:30,Staging,Edge,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4217,0,PASS
TC_RENT_025,B1048,1/20/2026 16:32,UAT,Chrome,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30374,2,FAIL
TC_PURCHASE_008,B1028,1/20/2026 16:34,QA,Chrome,Ecommerce,Purchase,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46602,1,FAIL
TC_VIEW_PRODUCT_043,B1009,1/20/2026 16:36,QA,Chrome,Ecommerce,View Product,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49683,0,FAIL
TC_LOGIN_037,B1016,1/20/2026 16:38,QA,Edge,Authentication,Click Login Button,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,45560,0,FAIL
TC_VIEW_PRODUCT_040,B1020,1/20/2026 16:40,Staging,Firefox,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17061,0,FAIL
TC_DELETE_EMP_014,B1044,1/20/2026 16:42,QA,Firefox,Employee,Delete Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5998,0,PASS
TC_VIEW_EMP_025,B1025,1/20/2026 16:44,Staging,Edge,Employee,View Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,32299,1,FAIL
TC_RENT_040,B1050,1/20/2026 16:46,UAT,Chrome,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,46116,0,FAIL
TC_VIEW_PRODUCT_027,B1016,1/20/2026 16:48,QA,Firefox,Ecommerce,View Product,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,16915,1,FAIL
TC_ADD_CART_003,B1036,1/20/2026 16:50,QA,Chrome,Ecommerce,Add to Cart,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,15218,0,FAIL
TC_DELETE_EMP_022,B1035,1/20/2026 16:52,UAT,Edge,Employee,Delete Employee,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34876,1,FAIL
TC_ADD_EMP_048,B1047,1/20/2026 16:54,QA,Firefox,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,3104,0,PASS
TC_ADD_EMP_017,B1026,1/20/2026 16:56,QA,Edge,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,5092,0,PASS
TC_RENT_024,B1008,1/20/2026 16:58,QA,Chrome,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,31622,3,FAIL
TC_PURCHASE_022,B1027,1/20/2026 17:00,Staging,Chrome,Ecommerce,Purchase,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,17581,1,FAIL
TC_ADD_CART_015,B1033,1/20/2026 17:02,UAT,Chrome,Ecommerce,Add to Cart,Assertion passed,N/A,N/A,HTTP 200 OK,5953,0,PASS
TC_PURCHASE_019,B1032,1/20/2026 17:04,Staging,Edge,Ecommerce,Purchase,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,30531,2,FAIL
TC_RENT_041,B1012,1/20/2026 17:06,UAT,Edge,Ecommerce,Rent Item,Error: locator('#user-name') not found,waiting for selector '#user-name' failed,#user-name,N/A,19627,1,FAIL
TC_LOGIN_005,B1013,1/20/2026 17:08,QA,Firefox,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,6260,0,PASS
TC_LOGIN_011,B1022,1/20/2026 17:10,UAT,Firefox,Authentication,Click Login Button,Assertion passed,N/A,N/A,HTTP 200 OK,4821,0,PASS
TC_RENT_037,B1011,1/20/2026 17:12,QA,Firefox,Ecommerce,Rent Item,Error: Navigation timeout 45000ms exceeded,page.goto('/dashboard') timed out,N/A,HTTP 200 OK,49487,0,FAIL
TC_ADD_EMP_032,B1003,1/20/2026 17:14,QA,Chrome,Employee,Save Employee,Assertion passed,N/A,N/A,HTTP 200 OK,6619,0,PASS
TC_PURCHASE_047,B1038,1/20/2026 17:16,Staging,Firefox,Ecommerce,Purchase,Assertion passed,N/A,N/A,HTTP 200 OK,5108,0,PASS
TC_RENT_040,B1032,1/20/2026 17:18,Staging,Firefox,Ecommerce,Rent Item,Timeout 30000ms waiting for API response,apiRequest.post('/service') timed out,#saveBtn,HTTP 504 Gateway,34311,1,FAIL
